1933,Lathe Cut,1
1986,CD,11280
1982,VHS,117
2013,File,97313
1990,All Media,55
1971,Acetate,59
1992,Minidisc,151
1927,Box Set,2
1968,Betacam,1
1923,Cylinder,1
1931,Lathe Cut,1
1961,Shellac,367
2003,Microcassette,1
1966,Acetate,72
1987,U-matic,3
2011,CD,86497
1948,Vinyl,392
2016,Vinyl,61793
1966,8-Track Cartridge,78
2018,DVDr,122
1990,Video8,3
1983,CDr,1
2014,DAT,2
1987,Hybrid,2
2003,DAT,2
2005,DVD,7926
2009,DVDr,617
1974,Flexi-disc,392
1945,Vinyl,46
2014,Floppy Disk,130
1904,Cylinder,32
1939,Lathe Cut,2
2001,HD DVD,1
1977,Vinyl,101899
1926,Shellac,1613
1997,U-matic,25
2009,Betacam SP,2
1932,Flexi-disc,79
0,MiniDV,21
1938,Box Set,1
1961,Vinyl,35859
1984,Acetate,164
1991,DAT,8
1995,Flexi-disc,66
1995,Floppy Disk,15
1943,Box Set,1
1963,PlayTape,2
1967,Vinyl,70192
1973,Vinyl,90462
1969,Flexi-disc,314
1919,Pathé Disc,16
2007,Blu-ray,67
1954,Acetate,12
1900,Cylinder,2
1983,Video8,2
1962,Cassette,1
2010,Microcassette,12
2005,Acetate,44
2006,Hybrid,223
1998,Acetate,230
2016,SACD,326
1987,DCC,1
1996,SACD,5
1975,Flexi-disc,407
1986,CDV,27
1986,DAT,1
1995,DVDr,2
2003,HD DVD,1
2006,Laserdisc,1
2016,PlayTape,1
1988,Acetate,162
2017,Cassette,18436
2007,Reel-To-Reel,7
0,DAT,23
1964,4-Track Cartridge,9
2009,UMD,3
1939,All Media,1
1908,Shellac,310
1989,Lathe Cut,3
1989,Betamax,1
1988,Shellac,1
1949,Flexi-disc,5
2012,Microcassette,4
1947,Reel-To-Reel,2
1978,4-Track Cartridge,1
1928,Box Set,1
2001,CD,116249
1998,All Media,222
0,DVDr,2120
1962,Shellac,207
1933,Shellac,1059
2011,Microcassette,17
2009,Microcassette,12
1956,Acetate,17
1993,DVDr,7
1963,Acetate,43
1937,Pathé Disc,1
2013,Floppy Disk,84
2017,CDr,13065
1994,DVDr,5
1982,Reel-To-Reel,33
2005,Microcassette,1
2008,File,42113
2010,Box Set,1780
1983,Laserdisc,124
0,Blu-ray,203
2014,File,96689
1943,Acetate,2
1986,Video 2000,1
2005,Minidisc,4
0,Video8,27
1978,Vinyl,105588
1992,Laserdisc,325
1985,Flexi-disc,265
2008,Cassette,4384
1938,Shellac,2318
2012,DVD,4228
1951,Box Set,126
2000,DVDr,32
2010,Blu-ray-R,28
1979,Vinyl,106375
1969,Vinyl,74614
1977,Cassette,4907
2009,All Media,1585
1966,Cassette,118
1963,Box Set,211
2015,Acetate,25
1995,8-Track Cartridge,6
1993,8-Track Cartridge,4
1993,CDV,2
2003,Vinyl,46632
1985,VHS,487
2006,Blu-ray,29
2005,Memory Stick,10
2018,HD DVD,1
2003,CDr,15040
1999,SACD,118
1994,CDr,274
1992,CDr,90
1964,Box Set,229
2018,Box Set,1278
2008,Floppy Disk,23
-1,Lathe Cut,3
1860,All Media,1
1990,U-matic,13
1981,Cassette,9147
1981,Acetate,118
2006,Box Set,1158
1996,DVD,93
1982,SelectaVision,10
2016,Shellac,1
1980,Betamax,4
1981,VHD,1
2008,DAT,2
1991,Minidisc,2
1988,VHS,692
1954,Box Set,74
1957,Shellac,2157
1977,8-Track Cartridge,1058
1952,Box Set,94
2015,DVDr,281
1993,All Media,93
2018,4-Track Cartridge,2
2010,Betacam SP,5
2008,Minidisc,3
1986,Lathe Cut,1
1935,Acetate,1
2011,Vinyl,38969
2018,File,82182
2017,Floppy Disk,88
1975,All Media,23
1961,Acetate,20
-1,DVD,6
1993,Box Set,559
1982,Flexi-disc,281
1911,Cylinder,22
1994,Lathe Cut,37
1947,Box Set,4
1930,Box Set,1
2002,MVD,1
1960,All Media,1
2008,All Media,1557
1987,Laserdisc,150
1976,Box Set,610
0,Shellac,86779
2002,Floppy Disk,19
1921,Cylinder,19
1992,Floppy Disk,3
1895,Shellac,2
1995,Vinyl,49103
2002,Box Set,908
2008,CDr,23699
1995,Box Set,585
2005,Hybrid,301
1951,Vinyl,3644
1974,Reel-To-Reel,142
1916,Cylinder,19
1920,Cylinder,37
1933,Box Set,1
1982,VHD,1
2002,CDr,13261
2007,File,27520
2009,File,55068
2005,Box Set,1112
2007,SACD,361
1988,Laserdisc,190
1953,Box Set,60
2009,VHS,9
2002,Minidisc,13
1991,8-Track Cartridge,1
2005,Lathe Cut,82
1987,8-Track Cartridge,40
2001,Lathe Cut,29
1973,Acetate,64
1998,Minidisc,186
2007,Flexi-disc,45
2010,Hybrid,17
2019,Lathe Cut,2
2000,Laserdisc,6
1955,Flexi-disc,6
1911,Pathé Disc,1
2005,CDr,20485
1987,Box Set,463
2011,SACD,353
1978,Acetate,153
2017,DVDr,147
1902,Shellac,77
2018,Minidisc,20
1987,Video8,4
1897,Cylinder,2
1964,All Media,2
1947,All Media,1
2000,VHD,1
2005,Cassette,4008
1980,Cassette,7877
1965,Flexi-disc,226
1949,Vinyl,1649
1999,File,633
1992,Acetate,139
1966,PlayTape,24
2002,MiniDV,1
2003,DVDr,168
1973,Cassette,2447
1998,Laserdisc,33
1962,Box Set,210
2018,Blu-ray,322
2001,Hybrid,25
1958,Box Set,164
2012,Lathe Cut,410
2005,Blu-ray,7
1994,DCC,19
2018,Flexi-disc,251
2014,Minidisc,11
1915,Cylinder,11
0,CDr,69092
1992,VHS,1155
2000,Lathe Cut,45
2008,8-Track Cartridge,3
2018,Memory Stick,155
1898,Cylinder,19
2015,MVD,1
2007,CD,114583
2005,SACD,503
1996,DAT,27
1925,Edison Disc,72
1993,U-matic,53
1962,All Media,2
1983,Video 2000,2
1993,CD,79717
1968,Cassette,329
2013,8-Track Cartridge,24
2000,8-Track Cartridge,2
1962,4-Track Cartridge,6
1968,Shellac,35
1988,Reel-To-Reel,19
1968,PlayTape,12
1952,Flexi-disc,1
1997,Reel-To-Reel,1
1984,8-Track Cartridge,104
1907,Cylinder,71
1938,All Media,2
2007,Microcassette,2
1982,Video 2000,2
1996,Reel-To-Reel,4
2009,HD DVD-R,1
0,All Media,2468
0,SACD,468
2007,CDV,5
2005,Betacam SP,172
1997,Floppy Disk,4
1978,VHS,7
1987,Cassette,17538
0,Hybrid,63
2010,Blu-ray,258
1948,Shellac,2911
1985,8-Track Cartridge,71
2014,VHS,46
1956,Reel-To-Reel,20
2004,MiniDV,10
2010,Cylinder,5
1995,DVD,2
2011,Flexi-disc,139
0,4-Track Cartridge,169
1969,4-Track Cartridge,58
1993,DAT,6
1965,8-Track Cartridge,32
1921,Edison Disc,90
1963,4-Track Cartridge,4
2008,Blu-ray-R,26
1992,Lathe Cut,8
1897,Shellac,24
2013,Cylinder,2
2005,Blu-ray-R,2
2009,Hybrid,33
2011,All Media,1776
2008,Lathe Cut,95
1968,Acetate,89
2003,Hybrid,21
2016,CDr,15559
1958,All Media,2
2001,Cassette,11029
1963,Flexi-disc,138
1937,Shellac,2242
1949,Box Set,126
2012,DVDr,392
2014,Reel-To-Reel,16
1940,Box Set,1
1986,Vinyl,96772
2001,Vinyl,48380
1988,Vinyl,92432
1990,CD,52157
1966,Vinyl,65072
1981,Flexi-disc,406
1976,Cassette,4283
2012,Floppy Disk,112
1991,Flexi-disc,140
1983,Reel-To-Reel,31
1938,Acetate,5
1946,Acetate,8
2012,VHS,18
1970,All Media,2
2016,Hybrid,16
1987,CD,21158
1957,Vinyl,21872
2009,Box Set,1666
1963,Reel-To-Reel,158
1970,Cassette,949
2010,Acetate,39
2017,Lathe Cut,983
1997,Betacam SP,22
1994,8-Track Cartridge,7
1975,VHS,1
0,File,37861
1984,Laserdisc,197
2018,CD,41639
2010,8-Track Cartridge,7
1997,CD,111108
2011,Cassette,7814
2008,Acetate,39
2005,Flexi-disc,4
2004,Memory Stick,2
1974,8-Track Cartridge,1346
2000,File,1352
1914,Cylinder,39
1995,VHS,902
2001,DVDr,36
1983,SelectaVision,18
1940,Vinyl,23
2010,VHS,11
2011,DVDr,405
1916,Shellac,544
1957,Reel-To-Reel,61
2009,Flexi-disc,9
1960,RCA Tape Cartridge,2
2008,SACD,319
1990,Microcassette,2
2002,UMD,1
1988,All Media,48
1958,Shellac,1333
1962,Flexi-disc,150
1899,Shellac,26
2004,DAT,2
2013,HD DVD,2
1980,Lathe Cut,1
1996,Cassette,24187
1984,Betamax,64
1949,Acetate,24
2003,Minidisc,5
2015,HD DVD,7
1993,Reel-To-Reel,15
1999,CD,114036
1983,Acetate,141
2013,Hybrid,15
1942,Vinyl,17
1985,CD,6538
2013,Acetate,40
2004,Acetate,93
1990,Laserdisc,350
2014,Hybrid,38
1939,Acetate,3
-1,Flexi-disc,1
1995,Cassette,26765
1999,Cassette,15647
1991,Acetate,113
1942,Shellac,1988
2016,Lathe Cut,1023
1974,All Media,12
1958,Tefifon,3
1978,U-matic,1
