2003,Gospel,27
1982,Rhythm & Blues,81
0,Hip-House,1014
2008,Industrial,3378
1988,Big Beat,31
2011,Techno,12652
1983,Reggae,123
1997,Novelty,28
2007,Acoustic,389
1996,J-pop,102
2005,Psychedelic Rock,286
2010,Krautrock,440
1995,Dance-pop,327
2012,Post-Punk,423
1996,DJ Battle Tool,14
2012,Theme,60
2013,Dubstep,4054
2013,Lounge,80
2012,Baroque,13
2013,Free Improvisation,462
2007,Freestyle,260
1981,Neo-Classical,6
1995,Tech Trance,36
2005,Dancehall,110
1994,Gothic Metal,7
1997,Hardcore Hip-Hop,12
2016,Experimental,17598
2013,New Jack Swing,9
2016,Breakcore,859
2001,Theme,88
2016,Vocal,476
1990,Arena Rock,18
2007,Bayou Funk,10
1975,Minimal,29
2013,Special Effects,23
2010,Promotional,5
1972,Novelty,11
2001,Psychobilly,3
1981,African,4
2016,Bluegrass,7
1985,Comedy,13
1998,Synthwave,4
1969,Funk,5
2016,Favela Funk,6
2012,Viking Metal,6
1988,Psychedelic,2
1983,Neo-Romantic,8
2017,Funeral Doom Metal,5
1996,Acid Rock,4
2017,UK Funky,11
2003,Doo Wop,4
1992,Raï,8
2018,Funk Metal,4
2017,Kizomba,3
1988,Drum n Bass,2
1982,MPB,1
1956,Big Band,1
1960,Promotional,1
1996,Math Rock,8
1967,Light Music,1
1990,Nu-Disco,2
1976,Synthwave,2
2005,Bachata,3
2000,Éntekhno,5
2001,Gagaku,1
1993,Nursery Rhymes,5
2002,Favela Funk,1
2004,Catalan Music,8
2006,Lento Violento,1
2018,Boogie Woogie,1
2017,Boogaloo,1
1999,Zydeco,1
1999,G-Funk,1
1993,Experimental,2002
1998,EBM,371
2004,IDM,1823
2005,Latin Jazz,93
1993,Acid Jazz,966
2005,Progressive Breaks,32
2004,Rhythmic Noise,202
2003,Shoegaze,60
1996,Speedcore,120
1993,Southern Rock,6
1988,Reggae-Pop,92
1979,Fusion,73
1991,Tribal House,66
1991,AOR,33
2007,Modern Classical,869
2009,IDM,2712
2009,Progressive Trance,2928
1990,Shoegaze,39
2012,Synth-pop,6789
2012,Free Jazz,123
2011,Space Rock,226
1976,Krautrock,121
2008,Country Rock,39
1983,Flamenco,10
1999,Pub Rock,2
